bbwduc
bahgoo
snogoo
rosgoo
sxrgoo1
gragoo
swagoo1
x00776
gwfgoo
lwfgoo
tunbeg1
pifgoo
brant
bargoo
cacgoo1
x00416
cangoo
swagoo3
x00415
x00758
x00759
x00197
x00417
y00765
mutswa
blkswa
truswa
x00832
tunswa
whoswa
egygoo
rudshe
comshe
musduc
rintea1
wooduc
manduc
manduc1
buwtea
cintea
bwxtea1
norsho
gadwal
eurwig
amewig
x00421
mallar3
mdxmal1
x00205
x00612
x00420
x00611
ambduc
x00004
motduc
whcpin
norpin
x00628
gnwtea
x00670
recpoc
canvas
redhea
rinduc
x00679
tufduc
gresca
lessca
x00613
x00682
tdxsca1
kineid
comeid
harduc
sursco
whwsco2
blksco2
lotduc
buffle
comgol
bargol
cxbgol1
hoomer
x00425
commer
x00726
rebmer
masduc
rudduc
helgui
norbob
wiltur
rufgro
rinphe1
rinphe2
compea
redjun
relpar1
chukar
grefla2
pibgre
horgre
rengre
eargre
wesgre
rocpig
batpig1
paspig
eucdov
afcdov1
cogdov
whwdov
moudov
yebcuc
bkbcuc
comnig
chwwid
easwpw1
chiswi
rthhum
bkchum
bahwoo
annhum
calhum
rufhum
allhum
kinrai4
clarai11
virrai
sora
comgal1
y00475
purgal2
yelrai
blkrai
sancra
bknsti
ameavo
ameoys
bkbplo
amgplo
pagplo
snoplo5
wilplo
semplo
pipplo
killde
uplsan
whimbr
lobcur
bktgod
hudgod
margod
rudtur
redkno
surfbi
ruff
stisan
cursan
sander
dunlin
pursan
baisan
leasan
whrsan
bubsan
pecsan
semsan
wessan
shbdow
lobdow
amewoo
wilsni1
wilpha
renpha
redpha1
sposan
solsan
greyel
willet1
lesyel
sopsku1
pomjae
parjae
lotjae
doveki
thbmur
blkgui
lobmur
ancmur
bklkit
sabgul
bongul
bkhgul
litgul
rosgul
laugul
fragul
mewgul
mewgul2
ribgul
x00641
calgul
hergul
y00478
lbbgul
x00057
slbgul
glwgul
x00050
glagul
nelgul
gbbgul
x00047
kelgul
sooter1
briter1
leater1
gubter1
caster1
blkter
whwter
roster
comter
arcter
forter
royter1
santer1
blkski
whttro
retloo
pacloo
comloo
yebloo
wispet
lcspet
barpet
norful
tripet1
bkcpet
corshe
greshe
woosto
magfri
brnboo
norgan
anhing
grecor
doccor
neocor
amwpel
brnpel
amebit
leabit
grbher3
greegr
x00677
snoegr
libher
triher
categr
grnher
bcnher
ycnher
whiibi
gloibi
whfibi
rosspo1
blkvul
turvul
osprey
swtkit
goleag
snakit
miskit
norhar2
shshaw
coohaw
norgos
baleag
hrshaw
reshaw
brwhaw
swahaw
rethaw
x00686
rolhaw
brnowl
easowl1
snoowl1
grhowl
nohowl
brdowl
grgowl
loeowl
sheowl
borowl
nswowl
belkin1
yebsap
x00634
lewwoo
rehwoo
rebwoo
attwoo1
bkbwoo
dowwoo
haiwoo
pilwoo
norfli
amekes
merlin
gyrfal
perfal
prafal
cockat
rorpar
budger
monpar
grrpar1
orfpar
olsfly
eawpew
yebfly
acafly
aldfly
wilfly
leafly
hamfly
pasfly
easpho
saypho
verfly
astfly
grcfly
trokin
weskin
easkin
grykin
sctfly
fotfly
whevir
yetvir
buhvir
phivir
warvir
reevir1
logshr
norshr4
blujay
eurjac
amecro
fiscro
comrav
carchi
bkcchi
x00195
borchi2
tuftit
horlar
nrwswa
purmar
treswa
vigswa
banswa
barswa
cliswa
x00717
cavswa
ruckin
gockin
rebnut
whbnut
bnhnut
brncre
buggna
rocwre
houwre
winwre3
sedwre1
marwre
carwre
bewwre
eursta
grycat
brnthr
normoc
easblu
moublu
towsol
varthr
veery
gycthr
bicthr
swathr
herthr
woothr
redwin
amerob
eurrob1
norwhe
bohwax
cedwax
orabis1
redbis
zebfin2
nutman
houspa
amepip
brambl
evegro
pingro
gcrfin
houfin
purfin
yefcan
comred
hoared
redcro
whwcro
eurgol
pinsis
lesgol
amegfi
laplon
snobun
graspa
chispa
clcspa
x00198
fiespa
brespa
larspa
larbun
amtspa
foxspa
daejun
whcspa
gocspa
harspa
whtspa
x00451
x00039
vesspa
lecspa
seaspa
nstspa
sstspa
savspa
henspa
sonspa
linspa
swaspa
gnttow
spotow
eastow
yebcha
yehbla
boboli
wesmea
easmea
x00827
orcori
ventro1
bulori
balori
blbori1
scoori
rewbla
shicow
bnhcow
rusbla
brebla
comgra
ovenbi1
woewar1
louwat
norwat
gowwar
buwwar
x00669
brewar
lawwar
bawwar
prowar
swawar
tenwar
orcwar
naswar
conwar
macwar
mouwar
kenwar
comyel
hoowar
amered
kirwar
camwar
cerwar
norpar
x00711
magwar
babwar
bkbwar
yelwar
chswar
bkpwar
btbwar
x00483
palwar
pinwar
yerwar
yetwar
prawar
btywar
towwar
herwar
btnwar
canwar
wlswar
sumtan
scatan
westan
norcar
robgro
x01002
bkhgro
blugrb1
lazbun
indbun
varbun
paibun
dickci
