speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
cerwar,Cerulean Warbler,Setophaga cerulea,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
yetvir,Yellow-throated Vireo,Vireo flavifrons,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
amegfi,American Goldfinch,Spinus tristis,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
bkpwar,Blackpoll Warbler,Setophaga striata,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
louwat,Louisiana Waterthrush,Parkesia motacilla,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
rthhum,Ruby-throated Hummingbird,Archilochus colubris,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
easpho,Eastern Phoebe,Sayornis phoebe,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,1,41.292433,-74.884098,True,False,True,S139159290
chispa,Chipping Sparrow,Spizella passerina,L16790594,"106 Bear Walk Dr, Milford US-PA 41.29243, -74.88410",2023-05-24 22:40,3,41.292433,-74.884098,True,False,True,S139159290
swathr,Swainson's Thrush,Catharus ustulatus,L17711128,Greycar Rion Memorial Refuge (my yard),2023-05-24 21:44,2,39.8488116,-75.5180149,True,False,True,S139160514
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,L17711128,Greycar Rion Memorial Refuge (my yard),2023-05-24 21:44,1,39.8488116,-75.5180149,True,False,True,S139160514
comnig,Common Nighthawk,Chordeiles minor,L24632999,"617 N Taylor Ave, Pittsburgh US-PA 40.45613, -80.01392",2023-05-24 21:26,2,40.456125,-80.013917,True,False,True,S139154599
grhowl,Great Horned Owl,Bubo virginianus,L23523558,"277 Saxony Drive, Newtown, Pennsylvania, US (40.251, -74.918",2023-05-24 21:13,1,40.250954,-74.918202,True,False,True,S139153806
belkin1,Belted Kingfisher,Megaceryle alcyon,L24238451,"138 Main Street, Ohiopyle, Pennsylvania, US (39.864, -79.497)",2023-05-24 20:44,1,39.8635167,-79.49749,True,False,True,S139151381
chiswi,Chimney Swift,Chaetura pelagica,L24632109,"1738 Penn Avenue, Pittsburgh, Pennsylvania, US (40.45, -79.985)",2023-05-24 20:33,20,40.4504721,-79.9848508,True,False,True,S139150510
osprey,Osprey,Pandion haliaetus,L1548496,"Jamie Hill's Waterford, PA, Pond Property",2023-05-24 20:31,4,41.9315959,-79.956799,True,False,True,S139150340
purmar,Purple Martin,Progne subis,L1548496,"Jamie Hill's Waterford, PA, Pond Property",2023-05-24 20:31,40,41.9315959,-79.956799,True,False,True,S139150340
grbher3,Great Blue Heron,Ardea herodias,L7972079,Home 15055 West Creek Rd.,2023-05-24 20:26,1,40.1118452,-77.5798816,True,False,True,S139149710
grycat,Gray Catbird,Dumetella carolinensis,L2629695,Bill's Backyard,2023-05-24 20:24,2,41.2533196,-80.4701013,True,False,True,S139151585
purfin,Purple Finch,Haemorhous purpureus,L2629695,Bill's Backyard,2023-05-24 20:24,1,41.2533196,-80.4701013,True,False,True,S139151585
houspa,House Sparrow,Passer domesticus,L3455645,Houston,2023-05-24 20:17,5,40.2533326,-80.2072012,True,False,True,S139151178,N
eursta,European Starling,Sturnus vulgaris,L3455645,Houston,2023-05-24 20:17,2,40.2533326,-80.2072012,True,False,True,S139151178,N
mallar3,Mallard,Anas platyrhynchos,L17325750,Rolling Hills Park/Peters Township High School,2023-05-24 20:16,2,40.2768571,-80.1028942,True,False,True,S139148648
commer,Common Merganser,Mergus merganser,L263704,Morrisville Levee,2023-05-24 20:12,1,40.2146879,-74.7737246,True,False,False,S139148290
killde,Killdeer,Charadrius vociferus,L24631746,"2255 Allentown Road, Quakertown, Pennsylvania, US (40.446, -75.399)",2023-05-24 20:11,1,40.4463974,-75.3989989,True,False,True,S139148312
rethaw,Red-tailed Hawk,Buteo jamaicensis,L1340253,Talleyrand Park,2023-05-24 19:59,1,40.9112146,-77.781243,True,False,False,S139152159
turvul,Turkey Vulture,Cathartes aura,L1340253,Talleyrand Park,2023-05-24 19:59,23,40.9112146,-77.781243,True,False,False,S139152159
comgra,Common Grackle,Quiscalus quiscula,L1340253,Talleyrand Park,2023-05-24 19:59,3,40.9112146,-77.781243,True,False,False,S139152159
brdowl,Barred Owl,Strix varia,L24631536,"18821, Great Bend US-PA 41.97947, -75.73252",2023-05-24 19:57,2,41.979471,-75.732518,True,False,True,S139147030
dowwoo,Downy Woodpecker,Dryobates pubescens,L10105734,Strasburg Borough,2023-05-24 19:56,1,39.9842278,-76.1797649,True,False,True,S139149542
easblu,Eastern Bluebird,Sialia sialis,L13010857,"Perry Highway, Portersville, Pennsylvania, US",2023-05-24 19:41,7,40.9253121,-80.1434666,True,False,True,S139148327
hoowar,Hooded Warbler,Setophaga citrina,L18890634,"13703 Old Route 19 N, Waterford US-PA 41.89639, -79.99394",2023-05-24 19:40,2,41.896395,-79.99394,True,False,True,S139153627
yelwar,Yellow Warbler,Setophaga petechia,L18890634,"13703 Old Route 19 N, Waterford US-PA 41.89639, -79.99394",2023-05-24 19:40,1,41.896395,-79.99394,True,False,True,S139153627
buhvir,Blue-headed Vireo,Vireo solitarius,L18890634,"13703 Old Route 19 N, Waterford US-PA 41.89639, -79.99394",2023-05-24 19:40,2,41.896395,-79.99394,True,False,True,S139153627
carchi,Carolina Chickadee,Poecile carolinensis,L11715295,Frick Park--South Clayton West (Monitoring),2023-05-24 19:40,1,40.436438,-79.904485,True,False,False,S139149818
pilwoo,Pileated Woodpecker,Dryocopus pileatus,L18890634,"13703 Old Route 19 N, Waterford US-PA 41.89639, -79.99394",2023-05-24 19:40,1,41.896395,-79.99394,True,False,True,S139153627
coohaw,Cooper's Hawk,Accipiter cooperii,L21878635,"438 Union Avenue, Pittsburgh, Pennsylvania, US (40.443, -80.062)",2023-05-24 19:40,1,40.4429659,-80.0624199,True,False,True,S139147327
eawpew,Eastern Wood-Pewee,Contopus virens,L18890634,"13703 Old Route 19 N, Waterford US-PA 41.89639, -79.99394",2023-05-24 19:40,1,41.896395,-79.99394,True,False,True,S139153627
haiwoo,Hairy Woodpecker,Dryobates villosus,L11715295,Frick Park--South Clayton West (Monitoring),2023-05-24 19:40,1,40.436438,-79.904485,True,False,False,S139149818
easmea,Eastern Meadowlark,Sturnella magna,L24631105,"224 Hedgedus Rd, Scottdale US-PA (40.1137,-79.6512)",2023-05-24 19:34,1,40.113715,-79.651162,True,False,True,S139144467
treswa,Tree Swallow,Tachycineta bicolor,L2708303,Mt. Pleasant Rd.,2023-05-24 19:30,1,40.1388551,-76.5282083,True,False,True,S139154135
warvir,Warbling Vireo,Vireo gilvus,L22121430,"S Creek Rd, Chadds Ford US-PA (39.8599,-75.5989)",2023-05-24 19:20,1,39.859911,-75.598872,True,False,True,S139158350
yebcha,Yellow-breasted Chat,Icteria virens,L17294750,Mapleflower HOA,2023-05-24 19:15,1,40.111253,-75.7658946,True,False,True,S139144262
whevir,White-eyed Vireo,Vireo griseus,L17294750,Mapleflower HOA,2023-05-24 19:15,1,40.111253,-75.7658946,True,False,True,S139144262
leasan,Least Sandpiper,Calidris minutilla,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,2,39.7603111,-77.7365413,True,False,False,S139146603
norsho,Northern Shoveler,Spatula clypeata,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,1,39.7603111,-77.7365413,True,True,False,S139146603
rocpig,Rock Pigeon,Columba livia,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,7,39.7603111,-77.7365413,True,False,False,S139146603,N
sposan,Spotted Sandpiper,Actitis macularius,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,2,39.7603111,-77.7365413,True,False,False,S139146603
wilfly,Willow Flycatcher,Empidonax traillii,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,1,39.7603111,-77.7365413,True,False,False,S139146603
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,6,39.7603111,-77.7365413,True,False,False,S139146603
comrav,Common Raven,Corvus corax,L7369104,Antrim Commons Dr. Ponds,2023-05-24 19:11,3,39.7603111,-77.7365413,True,False,False,S139146603
indbun,Indigo Bunting,Passerina cyanea,L12461584,Hillview,2023-05-24 19:07,1,40.011861,-76.443787,True,False,True,S139170727
horlar,Horned Lark,Eremophila alpestris,L12461584,Hillview,2023-05-24 19:07,3,40.011861,-76.443787,True,False,True,S139170727
norfli,Northern Flicker,Colaptes auratus,L4321193,Westminster College--Old Railway Trail,2023-05-24 19:05,1,41.1108109,-80.3247276,True,False,False,S139146267
rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus,L1853784,Juniata River--Casner's Crossing,2023-05-24 19:04,2,40.5524584,-77.3982096,True,False,False,S139145127
baleag,Bald Eagle,Haliaeetus leucocephalus,L677216,Canonsburg Lake,2023-05-24 19:03,1,40.269883,-80.1315522,True,False,False,S139148214
grnher,Green Heron,Butorides virescens,L677216,Canonsburg Lake,2023-05-24 19:03,1,40.269883,-80.1315522,True,False,False,S139148214
daejun,Dark-eyed Junco,Junco hyemalis,L21490266,"Private Residence--35 Wetmore Street, Wellsboro",2023-05-24 18:50,1,41.7519632,-77.2909192,True,False,True,S139143027
mutswa,Mute Swan,Cygnus olor,L23189909,"Hancock Lane Pond, Doylestown US-PA",2023-05-24 18:47,1,40.345644,-75.096487,True,False,True,S139148469,N
brnthr,Brown Thrasher,Toxostoma rufum,L1766214,"4240 kota avenue, harrisburg, pa",2023-05-24 18:47,2,40.3278245,-76.8590563,True,False,True,S139148234
norpar,Northern Parula,Setophaga americana,L1766214,"4240 kota avenue, harrisburg, pa",2023-05-24 18:47,1,40.3278245,-76.8590563,True,False,True,S139148234
greegr,Great Egret,Ardea alba,L3959490,Springbrook Court,2023-05-24 18:45,2,40.0525068,-76.355179,True,False,True,S139141209
canwar,Canada Warbler,Cardellina canadensis,L17717262,"8621 Black Valley Rd, Everett US-PA 39.97591, -78.41037MountainMeadowsBackyard",2023-05-24 18:30,1,39.975909,-78.410373,True,False,True,S139147064
wooduc,Wood Duck,Aix sponsa,L747767,Imperial Grasslands--Truck Stop,2023-05-24 18:27,3,40.4288843,-80.2958107,True,False,False,S139141681
graspa,Grasshopper Sparrow,Ammodramus savannarum,L747767,Imperial Grasslands--Truck Stop,2023-05-24 18:27,2,40.4288843,-80.2958107,True,False,False,S139141681
boboli,Bobolink,Dolichonyx oryzivorus,L747767,Imperial Grasslands--Truck Stop,2023-05-24 18:27,2,40.4288843,-80.2958107,True,False,False,S139141681
whtspa,White-throated Sparrow,Zonotrichia albicollis,L14703979,"609 McKee Rd, Washington US-PA 40.17909, -80.31744",2023-05-24 18:16,1,40.179091,-80.317439,True,False,True,S139137452
rebnut,Red-breasted Nuthatch,Sitta canadensis,L14703979,"609 McKee Rd, Washington US-PA 40.17909, -80.31744",2023-05-24 18:16,2,40.179091,-80.317439,True,False,True,S139137452
wiltur,Wild Turkey,Meleagris gallopavo,L275537,Pennypack Ecological Restoration Trust,2023-05-24 18:15,3,40.142238,-75.082901,True,False,False,S139148511
savspa,Savannah Sparrow,Passerculus sandwichensis,L7239357,Fields south of Norlo Park,2023-05-24 18:15,1,39.9093741,-77.5771236,True,False,True,S139150668
reshaw,Red-shouldered Hawk,Buteo lineatus,L5101524,Sachs Covered Bridge,2023-05-24 18:10,2,39.7973346,-77.2763783,True,False,False,S139141632
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,L3448334,"748 Gravel Point Road, Howard PA",2023-05-24 18:05,1,41.0279417,-77.6949535,True,False,True,S139141116
amekes,American Kestrel,Falco sparverius,L21490266,"Private Residence--35 Wetmore Street, Wellsboro",2023-05-24 18:00,1,41.7519632,-77.2909192,True,False,True,S139136536
winwre3,Winter Wren,Troglodytes hiemalis,L24629867,"Square Timber Overlooks, Cameron co",2023-05-24 18:00,1,41.427753,-78.114774,True,False,True,S139138143
banswa,Bank Swallow,Riparia riparia,L7520542,Camp Riamo/Howard Rds. (Blue Barn),2023-05-24 17:53,2,39.7647343,-79.5727944,True,False,False,S139144318
rudduc,Ruddy Duck,Oxyura jamaicensis,L333444,Peace Valley Park--Nature Center,2023-05-24 17:47,1,40.3402349,-75.1714262,True,False,False,S139143586
comgal1,Common Gallinule,Gallinula galeata,L129822,Peace Valley Park (IBA),2023-05-24 17:45,1,40.3261424,-75.1893997,True,True,False,S139143760
perfal,Peregrine Falcon,Falco peregrinus,L19303058,Twin Bridges,2023-05-24 17:31,3,40.006166,-75.193153,True,False,True,S139132090
acafly,Acadian Flycatcher,Empidonax virescens,L7679538,Westmoreland Heritage Trail--Murrysville to Export,2023-05-24 17:25,1,40.4195364,-79.6587753,True,False,False,S139137968
motduc,Mottled Duck,Anas fulvigula,L677216,Canonsburg Lake,2023-05-24 17:25,1,40.269883,-80.1315522,True,True,False,S139136486
leafly,Least Flycatcher,Empidonax minimus,L1497313,Chadds Ford Marsh,2023-05-24 17:20,1,39.873413,-75.5953266,True,False,False,S139158127
magwar,Magnolia Warbler,Setophaga magnolia,L150879,Silver Lake Park/Nature Center,2023-05-24 17:16,1,40.114727,-74.86073,True,False,False,S139136604
laugul,Laughing Gull,Leucophaeus atricilla,L1291093,Delaware River Trail--Reed St.,2023-05-24 17:15,1,39.9293198,-75.1410636,True,False,False,S139131080
hergul,Herring Gull,Larus argentatus,L1291093,Delaware River Trail--Reed St.,2023-05-24 17:15,1,39.9293198,-75.1410636,True,False,False,S139131080
ribgul,Ring-billed Gull,Larus delawarensis,L1291093,Delaware River Trail--Reed St.,2023-05-24 17:15,20,39.9293198,-75.1410636,True,False,False,S139131080
chswar,Chestnut-sided Warbler,Setophaga pensylvanica,L9257877,Corry Junction Greenway Trail (PA),2023-05-24 17:08,2,41.9557986,-79.6395171,True,False,False,S139142159
brncre,Brown Creeper,Certhia americana,L9257877,Corry Junction Greenway Trail (PA),2023-05-24 17:08,1,41.9557986,-79.6395171,True,False,False,S139142159
veery,Veery,Catharus fuscescens,L9257877,Corry Junction Greenway Trail (PA),2023-05-24 17:08,1,41.9557986,-79.6395171,True,False,False,S139142159
blkvul,Black Vulture,Coragyps atratus,L12277819,Stuart Park At Barnitz Mill,2023-05-24 16:53,1,40.1241696,-77.2205276,True,False,True,S139131456
